Target,Reporter Countries,Source,Partner Countries,Item Code,Item,Year,Unit,Value,Raw cocoa eq,
22,Processed,2,Ireland,F0665,"Cocoa, powder & cake",2017,tonnes,1035,3008.72093,FAO data based on imputation methodology
22,Processed,5,Austria,F0665,"Cocoa, powder & cake",2017,tonnes,1096,3186.046512,FAO data based on imputation methodology
43,Portugal,0,Netherlands,665,"Cocoa, powder & cake",2017,tonnes,1100,3197.674419,Official data
27,Sweden,5,Austria,665,"Cocoa, powder & cake",2017,tonnes,1168,3395.348837,Official data
20,Denmark,0,Netherlands,665,"Cocoa, powder & cake",2017,tonnes,1198,3482.55814,Official data
30,Netherlands,6,Poland,665,"Cocoa, powder & cake",2017,tonnes,1210,3517.44186,Official data
32,Poland,8,France,665,"Cocoa, powder & cake",2017,tonnes,1302,3784.883721,Official data
33,Belgium,9,United Kingdom of Great Britain and Northern Ireland,665,"Cocoa, powder & cake",2017,tonnes,1335,3880.813953,Official data
21,United Kingdom of Great Britain and Northern Ireland,3,Belgium,665,"Cocoa, powder & cake",2017,tonnes,1355,3938.953488,Official data
32,Poland,4,Côte d'Ivoire,665,"Cocoa, powder & cake",2017,tonnes,1400,4069.767442,Official data
34,Estonia,7,Spain,665,"Cocoa, powder & cake",2017,tonnes,1444,4197.674419,Official data
29,Bulgaria,0,Netherlands,665,"Cocoa, powder & cake",2017,tonnes,1497,4351.744186,Official data
35,Romania,1,Germany,665,"Cocoa, powder & cake",2017,tonnes,1525,4433.139535,Official data
23,Austria,0,Netherlands,665,"Cocoa, powder & cake",2017,tonnes,1607,4671.511628,Official data
36,Hungary,1,Germany,665,"Cocoa, powder & cake",2017,tonnes,1629,4735.465116,Official data
37,Slovakia,0,Netherlands,665,"Cocoa, powder & cake",2017,tonnes,1674,4866.27907,Official data
26,Germany,7,Spain,665,"Cocoa, powder & cake",2017,tonnes,1745,5072.674419,Official data
30,Netherlands,7,Spain,665,"Cocoa, powder & cake",2017,tonnes,1979,5752.906977,Official data
21,United Kingdom of Great Britain and Northern Ireland,8,France,665,"Cocoa, powder & cake",2017,tonnes,2234,6494.186047,Official data
21,United Kingdom of Great Britain and Northern Ireland,7,Spain,665,"Cocoa, powder & cake",2017,tonnes,2265,6584.302326,Official data
33,Belgium,7,Spain,665,"Cocoa, powder & cake",2017,tonnes,2340,6802.325581,Official data
40,Czechia,0,Netherlands,665,"Cocoa, powder & cake",2017,tonnes,2349,6828.488372,Official data
26,Germany,5,Austria,665,"Cocoa, powder & cake",2017,tonnes,2408,7000,Official data
24,France,10,Italy,665,"Cocoa, powder & cake",2017,tonnes,2476,7197.674419,Official data
35,Romania,0,Netherlands,665,"Cocoa, powder & cake",2017,tonnes,2534,7366.27907,Official data
40,Czechia,1,Germany,665,"Cocoa, powder & cake",2017,tonnes,2778,8075.581395,Official data
24,France,3,Belgium,665,"Cocoa, powder & cake",2017,tonnes,2821,8200.581395,Official data
24,France,7,Spain,665,"Cocoa, powder & cake",2017,tonnes,3160,9186.046512,Official data
