ID,Desc,Color
0,Netherlands,#f9c74f
1,Germany,#4d908e
2,Ireland,#B7B7A4
3,Belgium,#f8961e
4,Côte d'Ivoire,#fec5bb
5,Austria,#272640
6,Poland,#577590
7,Spain,#f94144
8,France,#277da1
9,United Kingdom of Great Britain and Northern Ireland,#a3cef1
10,Italy,#90be6d
11,Slovakia,#B7B7A4
12,Denmark,#373d20
13,Ghana,#fec89a
14,Croatia,#641220
15,Sweden,#B7B7A4
16,Czechia,#B7B7A4
17,Finland,#B7B7A4
18,Greece,#16db93
19,Bulgaria,#f9c74f
20,Denmark imports,#373d20
21,United Kingdom of Great Britain and Northern Ireland imports,#a3cef1
22,Processed,#b1a7a6
23,Austria imports,#272640
24,France imports,#277da1
25,Greece imports,#16db93
26,Germany imports,#4d908e
27,Sweden imports,#B7B7A4
28,Finland imports,#B7B7A4
29,Bulgaria imports,#f9c74f
30,Netherlands imports,#f9c74f
31,Spain imports,#f94144
32,Poland imports,#577590
33,Belgium imports,#f8961e
34,Estonia imports,#efea5a
35,Romania imports,#B7B7A4
36,Hungary imports,#B7B7A4
37,Slovakia imports,#B7B7A4
38,Italy imports,#90be6d
39,Croatia imports,#641220
40,Czechia imports,#B7B7A4
41,Ireland imports,#B7B7A4
42,Portugal,#B7B7A4
43,Portugal imports,#B7B7A4
